Area,Garage,FirePlace,Baths,White Marble,Black Marble,Indian Marble,Floors,City,Solar,Electric,Fiber,Glass Doors,Swiming Pool,Garden,Prices
97,1,4,1,0,0,1,1,1,1,0,0,1,0,0,32375
116,3,0,4,0,0,1,1,3,1,0,0,1,1,1,43600
116,2,1,2,0,1,0,1,1,1,1,1,0,0,0,46900
85,3,4,3,0,0,1,1,1,1,0,1,1,0,0,49325
140,3,0,1,0,0,1,1,3,1,1,0,1,0,0,41700
178,2,2,3,1,0,0,1,1,1,1,0,1,0,0,52150
38,2,3,3,0,1,0,0,2,0,1,0,0,1,1,24200
54,1,4,4,1,0,0,1,2,1,0,0,0,0,0,48100
41,3,0,1,1,0,0,0,2,0,0,1,0,0,0,40525
19,2,3,2,1,0,0,1,1,0,1,1,0,1,1,54725
235,1,2,3,1,0,0,1,1,0,0,1,1,0,1,62325
188,3,3,5,0,1,0,0,1,0,0,1,1,1,0,43400
159,3,1,3,0,0,1,0,2,1,1,0,1,0,0,26925
175,1,2,4,0,0,1,1,2,1,1,0,1,0,0,41325
3,3,3,2,0,1,0,0,3,1,0,1,1,1,0,42275
179,1,3,2,0,1,0,0,2,0,1,0,1,0,1,29425
105,1,2,3,0,0,1,1,3,0,1,0,1,1,1,41575
30,2,1,2,0,1,0,0,3,0,0,1,0,0,0,35250
8,1,1,4,1,0,0,1,3,0,0,0,1,0,0,52400
133,1,0,5,1,0,0,1,1,0,1,1,1,1,0,62025
202,1,3,3,1,0,0,0,1,1,0,1,1,0,1,47500
102,2,1,1,1,0,0,0,1,0,0,1,0,1,0,37800
172,2,0,3,0,1,0,1,2,0,0,1,0,1,1,50800
140,3,3,1,1,0,0,1,2,0,0,1,0,1,1,60250
13,3,2,4,1,0,0,0,1,0,0,0,1,0,1,34275
67,2,0,1,1,0,0,0,2,1,1,1,1,0,1,45625
144,3,4,1,0,1,0,1,3,1,0,1,1,0,0,60300
6,2,3,2,0,1,0,1,2,0,0,1,0,0,0,47650
226,1,2,3,0,0,1,0,1,1,0,0,0,1,0,17150
149,1,2,2,1,0,0,0,3,1,1,0,0,1,1,36225
94,3,0,5,1,0,0,1,2,1,1,1,0,1,0,63350
11,2,1,4,1,0,0,1,3,0,1,1,1,0,1,66975
153,2,4,2,1,0,0,1,3,1,0,1,0,1,1,64825
181,2,3,1,0,0,1,1,3,0,0,1,1,1,1,53725
212,3,1,2,1,0,0,0,1,1,0,0,0,1,0,31800
96,1,4,5,0,0,1,1,2,1,0,0,0,0,0,36400
65,3,1,1,0,0,1,1,1,1,0,0,0,1,1,27875
214,3,2,2,0,0,1,1,3,1,0,1,1,1,1,56800
8,2,2,4,0,0,1,0,2,1,0,0,0,0,0,17950
22,3,4,2,0,1,0,0,2,1,1,0,1,0,1,29500
158,2,0,5,0,1,0,0,1,0,1,0,0,0,1,23950
69,1,4,5,0,0,1,0,2,1,1,0,0,0,0,21975
19,1,3,4,0,1,0,0,1,1,0,0,0,0,0,18975
11,2,0,5,0,1,0,1,1,0,0,1,1,0,0,50225
100,3,3,3,0,1,0,1,2,1,0,0,0,1,0,41250
139,2,2,5,0,0,1,1,2,0,0,0,0,1,0,37225
22,2,1,4,0,1,0,0,2,0,0,1,0,1,1,34050
182,3,2,2,1,0,0,0,3,1,0,1,0,0,0,50550
77,2,1,3,0,0,1,0,3,0,0,1,0,0,1,32675
62,3,4,1,0,1,0,0,1,1,1,0,0,0,1,21300
145,2,1,3,0,1,0,0,1,0,0,1,1,1,0,36825
129,1,2,2,0,0,1,0,3,0,1,0,1,0,1,25925
215,1,2,1,0,1,0,1,2,0,0,1,1,0,1,53825
216,2,2,1,0,1,0,0,3,0,0,1,0,1,1,39400
101,3,3,3,1,0,0,0,2,0,0,1,1,1,0,51225
121,1,1,3,1,0,0,1,1,0,0,1,0,1,0,54275
234,1,1,2,1,0,0,1,3,0,0,1,0,0,1,62850
99,3,1,3,0,1,0,1,1,0,1,0,0,1,0,37225
114,2,3,5,0,1,0,1,1,0,0,0,0,1,0,38850
40,2,3,4,1,0,0,0,2,0,1,1,1,1,1,50700
135,2,1,4,0,1,0,0,1,0,0,0,1,0,0,26075
98,3,0,2,1,0,0,0,2,1,0,1,0,1,1,43450
20,1,1,5,0,1,0,1,2,0,1,0,1,0,0,42700
171,3,3,4,1,0,0,1,3,0,0,0,1,0,0,60975
11,3,2,3,1,0,0,1,2,0,0,1,1,1,0,63225
196,1,1,5,0,0,1,0,1,0,0,1,1,0,0,34100
238,3,4,2,1,0,0,1,3,0,1,1,0,1,1,69450
35,3,2,5,0,1,0,0,3,1,1,0,1,0,0,35575
65,1,3,5,0,1,0,0,1,1,0,1,0,1,1,33125
122,3,3,2,0,1,0,0,2,0,1,1,1,0,1,42750
114,3,1,1,0,1,0,1,3,0,1,1,0,0,0,53850
58,3,0,3,1,0,0,0,1,1,1,0,0,0,1,29700
115,1,2,1,0,1,0,1,2,0,0,1,0,1,1,46875
53,3,3,1,0,0,1,1,1,0,0,1,0,0,1,40575
179,1,4,1,1,0,0,0,1,1,0,0,1,0,0,33425
182,1,2,5,0,1,0,0,2,1,1,1,1,1,0,44500
115,2,1,5,0,0,1,0,3,1,0,0,0,0,1,24625
165,2,4,5,1,0,0,1,1,1,1,1,0,0,0,63125
243,2,4,3,0,1,0,0,2,1,0,1,0,0,0,40825
96,2,1,4,0,0,1,0,1,0,0,1,0,1,0,27400
19,1,0,4,0,1,0,1,1,1,0,0,0,1,0,31725
203,2,3,4,0,0,1,1,2,0,0,0,1,1,0,42775
4,1,1,2,0,1,0,0,3,1,0,1,1,1,0,37800
50,3,0,5,0,1,0,1,1,1,0,1,0,1,0,48500
4,3,2,4,1,0,0,0,3,0,0,1,0,0,0,48350
221,2,0,3,0,1,0,0,2,0,0,1,1,1,0,41475
127,1,2,4,0,0,1,1,2,0,1,1,0,0,0,47175
196,2,0,4,0,1,0,0,1,1,0,1,0,1,0,34400
199,2,2,1,0,1,0,0,3,0,0,0,0,0,0,27225
216,2,4,3,1,0,0,0,3,0,0,0,1,0,0,45100
106,3,4,4,0,1,0,1,3,0,0,0,1,1,0,51100
156,1,2,5,0,1,0,1,3,0,1,1,1,1,1,62100
140,2,1,4,1,0,0,1,2,1,1,1,1,0,0,66950
157,1,3,4,0,0,1,0,2,1,0,0,1,1,1,25375
118,2,3,2,1,0,0,1,3,1,0,1,0,0,0,63200
242,3,3,5,0,0,1,1,3,1,1,1,0,1,1,58800
89,3,2,4,1,0,0,1,1,0,1,0,0,1,0,47975
217,1,0,5,0,1,0,1,2,1,1,0,1,1,1,47125
14,2,0,3,0,0,1,0,1,1,1,1,1,0,1,29300
36,1,4,4,1,0,0,0,2,0,0,0,0,1,1,32400
236,2,4,4,0,1,0,1,2,0,1,1,0,1,1,57900
245,1,0,4,0,0,1,1,1,1,1,1,1,0,1,49825
192,2,3,2,0,0,1,0,2,0,1,1,1,0,0,38000
171,2,3,1,1,0,0,0,3,0,0,1,0,0,1,48025
41,1,2,4,0,1,0,0,3,0,1,0,0,0,1,26775
136,3,2,4,0,1,0,0,3,0,0,0,1,0,1,35350
218,1,2,2,0,1,0,1,1,1,0,0,1,0,0,40150
110,2,2,4,0,0,1,1,2,0,0,1,1,1,0,51450
77,3,2,3,0,1,0,1,2,0,1,0,1,1,0,45375
244,2,0,4,1,0,0,0,1,0,1,1,0,1,1,45600
157,1,4,5,0,0,1,1,3,1,1,1,1,1,0,58875
223,1,1,3,0,0,1,1,3,1,0,1,0,1,1,50075
10,2,3,5,1,0,0,0,2,1,0,1,0,1,1,45750
92,3,0,3,0,1,0,0,1,0,1,0,0,0,0,21300
133,1,3,4,0,0,1,0,2,0,1,0,0,1,1,21325
30,3,0,2,1,0,0,0,2,0,1,0,0,0,0,31000
69,3,4,4,0,1,0,1,2,0,0,1,1,1,0,58425
104,1,4,2,0,0,1,1,2,1,0,1,0,0,0,44600
56,2,3,2,1,0,0,1,1,1,0,0,1,1,0,47350
247,3,0,2,0,1,0,1,3,0,1,0,1,0,1,50375
128,3,0,2,1,0,0,1,1,0,0,1,0,1,1,55450
225,2,2,1,0,0,1,0,3,1,0,0,0,0,1,23125
231,1,4,4,0,1,0,1,3,0,1,0,0,1,1,48025
124,3,3,3,0,1,0,1,3,0,1,1,0,0,0,58100
216,2,3,1,0,0,1,0,1,0,0,0,1,1,1,20850
128,2,0,4,0,1,0,1,3,0,1,1,0,1,0,55700
109,1,4,3,1,0,0,0,1,1,0,1,1,1,1,45925
63,2,4,1,0,1,0,1,3,1,1,1,1,1,1,58025
95,2,4,1,0,1,0,1,2,1,0,1,0,0,1,49625
78,3,3,3,0,1,0,1,2,1,1,1,1,1,0,58150
193,2,1,5,0,0,1,1,2,0,1,1,0,0,1,50825
118,1,0,2,0,0,1,1,3,1,1,0,1,0,0,39400
199,3,4,4,0,0,1,1,1,1,1,1,0,1,0,50225
13,1,3,1,0,1,0,0,1,0,0,0,1,1,1,19275
68,3,0,1,0,0,1,0,2,1,0,0,1,0,0,20150
216,2,0,3,0,1,0,1,1,1,1,0,1,0,0,42600
63,2,1,4,0,0,1,1,3,1,0,0,1,1,0,41525
169,2,2,2,1,0,0,0,2,1,0,1,1,0,0,49675
25,2,2,4,1,0,0,1,1,0,0,1,0,0,1,55375
107,3,4,1,0,0,1,0,1,0,1,0,0,0,0,17175
197,1,0,4,0,1,0,0,3,0,1,1,1,0,0,45375
68,3,0,1,0,0,1,1,2,1,1,0,1,0,0,36400
74,3,0,5,0,0,1,0,1,0,0,1,0,0,1,28850
43,1,0,5,1,0,0,1,2,1,1,0,0,0,0,47325
104,2,0,1,1,0,0,0,2,1,0,0,1,0,1,33550
76,1,2,2,0,1,0,1,2,0,1,1,1,0,1,52850
84,2,4,1,0,0,1,0,2,1,0,1,0,0,1,29350
76,3,3,3,0,1,0,1,1,1,1,1,0,0,0,50150
139,3,2,3,0,0,1,0,2,0,0,1,0,1,1,32975
43,1,0,3,1,0,0,0,1,1,0,1,0,1,1,36825
230,1,3,3,0,0,1,1,2,0,1,0,1,1,1,41950
119,1,2,5,0,1,0,1,2,1,1,0,0,1,0,41725
47,2,1,5,1,0,0,0,2,1,1,1,0,0,0,46425
1,2,3,3,0,1,0,0,1,1,0,0,0,1,0,18775
195,1,4,4,1,0,0,1,1,0,1,1,0,1,1,60875
24,2,1,1,0,0,1,0,3,0,1,0,0,1,1,18350
35,2,2,4,0,1,0,1,2,1,0,0,1,0,1,43075
171,2,4,5,1,0,0,0,3,0,0,1,1,1,0,58225
107,3,0,5,1,0,0,1,1,0,0,1,0,1,0,58675
94,3,2,3,0,1,0,0,1,0,1,1,0,1,0,34600
180,1,1,4,0,0,1,0,2,1,0,0,1,1,1,24450
118,1,3,2,0,1,0,1,2,1,0,1,1,1,1,53650
128,2,0,3,1,0,0,1,1,1,1,1,1,1,1,61150
89,2,4,4,0,0,1,1,3,1,0,1,1,1,1,56175
163,3,4,3,0,1,0,0,1,1,0,0,0,0,1,25075
149,2,4,2,1,0,0,1,1,0,0,1,1,0,1,61925
32,1,4,3,0,0,1,1,3,1,0,0,0,1,1,35800
164,2,4,2,1,0,0,0,2,1,1,0,0,0,0,36100
135,1,3,3,1,0,0,1,1,0,1,1,1,0,1,61825
148,3,4,5,0,0,1,0,2,1,0,0,1,0,1,30150
180,1,0,2,0,0,1,1,1,1,0,0,1,0,1,32700
172,1,0,2,0,0,1,1,2,1,0,0,0,0,0,31550
29,2,1,2,1,0,0,1,3,1,0,0,0,0,1,47725
240,2,4,4,1,0,0,1,3,0,0,0,0,1,1,57500
217,2,2,4,0,1,0,0,3,1,1,1,1,0,1,49125
189,3,4,1,1,0,0,1,1,1,0,0,0,1,1,47225
177,3,2,3,1,0,0,0,1,1,1,0,0,0,0,34175
31,1,4,5,0,1,0,0,3,1,0,0,1,0,1,32725
9,3,4,5,0,1,0,1,1,0,1,1,1,0,0,55925
145,2,4,4,0,0,1,1,2,1,0,1,0,1,0,49625
155,2,3,2,1,0,0,0,1,0,0,1,1,0,0,46325
132,2,1,5,0,0,1,0,2,0,1,0,0,1,1,22550
110,2,4,5,0,1,0,0,3,1,1,1,0,0,1,44750
2,1,4,5,0,1,0,1,1,0,0,0,0,1,1,35300
103,1,4,5,0,0,1,1,1,1,1,1,1,0,1,50525
104,3,1,5,0,0,1,1,3,0,0,0,1,0,0,45050
47,3,2,2,1,0,0,1,1,1,1,0,1,1,0,49125
191,2,2,1,1,0,0,1,1,1,1,0,0,0,0,45525
247,3,4,3,0,0,1,0,1,0,1,1,0,0,0,34925
146,2,4,4,0,0,1,1,2,1,0,0,0,0,1,37900
32,2,0,2,0,1,0,1,3,1,1,1,0,1,0,51050
93,3,0,3,0,0,1,0,2,0,0,0,0,1,1,18575
130,2,4,3,0,0,1,1,3,0,0,0,1,0,0,43950
77,3,4,2,1,0,0,0,1,0,0,1,0,0,1,42175
36,1,1,1,0,0,1,0,1,1,0,1,0,1,0,20900
54,3,2,2,0,1,0,0,2,0,1,1,1,1,0,40300
226,1,2,4,0,1,0,0,3,1,1,1,1,0,0,47850
114,3,1,2,0,0,1,0,2,0,1,1,0,1,1,31600
243,3,2,5,0,0,1,0,2,0,1,1,1,1,1,43775
35,3,1,4,1,0,0,0,2,0,0,1,1,0,1,49325
45,1,3,5,0,0,1,0,2,0,1,0,0,0,0,20375
6,3,3,5,1,0,0,1,1,0,0,1,0,1,1,58400
99,2,3,5,1,0,0,0,3,0,0,0,1,1,1,43925
91,1,4,5,0,1,0,0,1,0,1,0,1,0,1,28225
245,3,3,4,0,0,1,1,2,0,0,1,1,1,0,57075
11,3,3,2,0,0,1,0,2,0,0,1,0,0,1,29275
199,2,1,1,0,1,0,0,3,0,1,1,1,1,0,43925
109,1,1,5,0,1,0,0,1,1,1,1,1,0,1,38425
135,1,0,1,1,0,0,1,1,0,1,1,0,1,1,52625
219,3,0,2,0,1,0,0,3,0,1,0,1,1,1,34675
118,2,3,2,1,0,0,0,3,0,1,0,1,0,1,41900
42,3,1,2,0,1,0,1,3,1,0,1,0,1,1,52300
77,3,0,5,0,1,0,0,3,1,0,0,1,0,1,33875
221,2,1,1,1,0,0,0,3,0,0,0,0,1,0,36025
232,3,0,1,1,0,0,0,3,1,0,0,1,1,0,41750
109,3,0,3,1,0,0,1,1,0,1,1,0,0,1,57475
31,2,4,1,0,0,1,1,1,1,1,0,1,1,1,33475
124,2,0,4,0,0,1,0,1,1,1,1,0,0,0,28850
216,3,1,2,1,0,0,1,2,0,1,0,1,0,1,55850
61,3,3,2,0,1,0,0,3,1,0,0,0,0,1,27525
201,2,0,1,1,0,0,1,2,0,1,1,0,1,0,59275
179,1,1,3,0,1,0,0,1,0,1,1,0,1,1,32975
17,2,3,2,0,0,1,0,2,0,0,0,1,0,0,20625
126,2,4,1,0,0,1,1,3,0,1,1,1,1,1,54350
172,3,3,4,0,0,1,0,1,0,1,1,1,0,0,38000
30,2,0,5,1,0,0,0,2,1,1,1,1,1,0,49700
84,1,3,2,0,0,1,1,2,1,0,0,1,0,1,36050
210,3,1,5,0,0,1,1,2,1,1,0,0,0,0,41250
132,2,2,4,1,0,0,0,2,0,0,0,1,0,0,39250
53,3,3,3,1,0,0,1,1,1,1,1,1,0,1,63025
76,1,2,2,0,1,0,1,3,1,1,0,0,1,0,40400
95,3,2,5,1,0,0,1,2,1,0,1,0,1,1,63625
1,2,3,5,0,1,0,0,1,0,0,1,1,1,1,37225
46,3,4,5,1,0,0,1,3,1,1,0,1,0,1,61350
225,3,0,5,0,0,1,0,1,0,0,1,1,1,0,37075
29,1,3,3,1,0,0,1,1,1,1,0,0,1,0,43225
69,3,2,5,0,1,0,1,3,0,1,0,0,1,1,46725
147,2,2,5,1,0,0,0,3,1,1,0,1,1,0,45875
187,1,3,2,0,0,1,1,2,1,0,0,0,0,1,34175
202,3,4,4,0,1,0,0,1,0,0,0,0,1,0,27050
42,3,1,5,1,0,0,0,3,1,1,1,1,0,0,55750
18,3,4,5,1,0,0,0,1,1,0,1,0,0,1,44700
93,1,4,3,1,0,0,1,2,0,1,1,0,1,0,60575
79,3,0,4,0,1,0,1,3,1,0,0,0,1,0,43225
204,3,4,2,0,1,0,0,2,0,0,1,1,1,1,44300
237,3,3,2,0,0,1,1,3,0,0,0,1,1,1,46125
241,2,4,5,1,0,0,1,2,1,0,1,0,1,1,67275
244,3,0,5,0,0,1,0,3,1,1,0,1,0,1,34300
163,3,0,5,1,0,0,0,3,1,0,0,1,1,1,45025
144,3,4,1,1,0,0,1,3,1,1,0,1,1,1,58800
89,2,3,5,1,0,0,1,2,0,1,1,1,1,1,68175
180,2,2,3,1,0,0,0,2,1,1,1,1,0,1,52450
173,1,2,5,1,0,0,1,1,0,1,1,1,1,1,64525
77,3,4,2,0,1,0,0,1,1,1,1,1,0,0,39125
113,2,1,5,0,1,0,0,2,1,0,1,1,0,1,42275
